HS12,CPC
261510,14290
261590,14290
261710,14290
261790,14290
251400,15110
251511,15120
251512,15120
251520,15120
250620,15130
251611,15130
251612,15130
251620,15130
251690,15130
252010,15200
252100,15200
250510,15310
250590,15310
251710,15320
251720,15320
251741,15320
251749,15320
271490,15330
250700,15400
250810,15400
250830,15400
250840,15400
250850,15400
250860,15400
250870,15400
251010,16110
251020,16110
250200,16120
251110,16190
251120,16190
252800,16190
252921,16190
252922,16190
253020,16190
253090,16190
250100,16200
710210,16310
710231,16310
710310,16310
251310,16320
251320,16320
710221,16320
250900,16330
251810,16330
250410,16390
250490,16390
250610,16390
251200,16390
251910,16390
251990,16390
252410,16390
252490,16390
252510,16390
252520,16390
252610,16390
252620,16390
252910,16390
252930,16390
253010,16390
271600,17100
270500,17200
220190,17300
220190,17400
220190,18000
20110,21111
20120,21111
20130,21111
20110,21112
20120,21112
20130,21112
20311,21113
20312,21113
20319,21113
20810,21114
20410,21115
20421,21115
20422,21115
20423,21115
20450,21116
20860,21117
20500,21118
20830,21119
20840,21119
20890,21119
20711,21121
20713,21121
20741,21122
20744,21122
20751,21123
20754,21123
20724,21124
20726,21124
20760,21125
20210,21131
20220,21131
20230,21131
20210,21132
20220,21132
20230,21132
20321,21133
20322,21133
20329,21133
20810,21134
20430,21135
20441,21135
20442,21135
20443,21135
20450,21136
20860,21137
20500,21138
20830,21139
20840,21139
20890,21139
20712,21141
20714,21141
20742,21142
20745,21142
20752,21143
20755,21143
20725,21144
20727,21144
20760,21145
20610,21151
20621,21151
20622,21151
20629,21151
50400,21151
20610,21152
20621,21152
20622,21152
20629,21152
50400,21152
20630,21153
20641,21153
20649,21153
50400,21153
20680,21155
20690,21155
50400,21155
20680,21156
20690,21156
50400,21156
20680,21159
20690,21159
20810,21159
20830,21159
20840,21159
20860,21159
20890,21159
20713,21160
20714,21160
20726,21160
20727,21160
20743,21160
20744,21160
20745,21160
20753,21160
20754,21160
20755,21160
20760,21160
20850,21170
20890,21170
21011,21181
21012,21181
21019,21181
21020,21182
21091,21183
21092,21183
21093,21183
21099,21183
